-25.7958, -193.1681, 392.839
-19.5547, -192.3535, 399.133
-15.5536, -191.6818, 403.190
-11.806, -190.7357, 407.055
-9.8112, -190.1421, 409.137
-6.7627, -189.1045, 412.357
-4.1551, -188.0594, 415.166
-1.9497, -187.0081, 417.609
0.5928, -185.4431, 420.595
2.517, -183.978, 423.013
4.545, -182.3184, 425.634
6.4272, -180.5981, 428.184
8.3212, -178.5927, 430.942
10.0685, -176.3602, 433.777
11.4842, -174.1125, 436.434
12.5946, -171.8801, 438.927
13.5378, -169.3835, 441.596
14.2696, -166.85, 444.233
14.9177, -163.9539, 447.201
15.3393, -161.3959, 449.793
15.6256, -158.9571, 452.249
15.8335, -156.204, 455.010
15.9711, -146.7055, 464.509
15.9711, -137.1355, 474.079
15.9711, -127.977, 483.238
15.9711, -118.3413, 492.873
15.9711, -108.7053, 502.509
15.9712, -98.9163, 512.298
16.0186, -89.6296, 521.585
16.0647, -80.5802, 530.635
16.1159, -70.5518, 540.663
16.1666, -60.6238, 550.591
16.2173, -50.6962, 560.519
16.2632, -41.6859, 569.529
16.5818, -32.3092, 578.911
16.9331, -22.6618, 588.565
17.2734, -14.4918, 596.742
17.8387, -3.8954, 607.354
18.2634, 1.7675, 613.033
19.0967, 8.2917, 619.610
20.7782, 14.848, 626.378
23.0382, 22.6319, 634.484
24.7282, 28.1623, 640.267
25.4223, 30.3774, 642.588
26.2205, 32.8862, 645.221
26.916, 35.0378, 647.482
27.627, 37.2036, 649.761
28.4074, 39.5388, 652.223
29.2482, 42.0013, 654.826
29.9898, 44.1217, 657.072
30.8091, 46.3988, 659.492
31.6544, 48.6623, 661.908
33.1366, 52.3385, 665.872
34.3014, 54.9579, 668.739
35.4172, 57.3684, 671.395
36.4451, 59.5333, 673.791
37.4594, 61.6315, 676.122
38.4843, 63.7223, 678.450
39.5867, 65.9452, 680.932
40.4144, 67.5995, 682.781
41.5509, 69.8542, 685.306
42.714, 72.1447, 687.875
43.8127, 74.2956, 690.290
44.8264, 76.2703, 692.510
45.9941, 78.5356, 695.059
47.1048, 80.6821, 697.476
48.0568, 82.5166, 699.542
49.2917, 84.8901, 702.218
50.369, 86.9559, 704.548
51.3571, 88.8475, 706.682
52.4146, 90.8691, 708.963
53.6691, 93.2643, 711.667
54.7496, 95.3256, 713.994
55.7394, 97.2128, 716.125
56.7716, 99.1805, 718.347
57.9378, 101.8202, 721.233
58.9186, 103.879, 723.514
60.0479, 106.1382, 726.040
61.2389, 108.4396, 728.631
62.4622, 110.7521, 731.247
63.5649, 112.8145, 733.586
64.8775, 115.265, 736.366
66.7407, 118.7813, 740.345
69.3657, 123.9416, 746.135
70.8285, 127.0124, 749.536
72.1822, 130.0628, 752.873
73.1626, 132.4608, 755.464
74.444, 135.9827, 759.212
75.4251, 139.2125, 762.587
76.3853, 143.5044, 766.985
76.9129, 149.006, 772.512
76.591, 153.1262, 776.645
75.4811, 157.448, 781.107
74.0439, 160.8884, 784.835
72.1849, 164.201, 788.634
69.2038, 168.2809, 793.687
65.6933, 172.0219, 798.817
62.7573, 174.5829, 802.713
59.3685, 177.0622, 806.912
55.0402, 179.6286, 811.944
51.2532, 181.3994, 816.125
47.3979, 182.7879, 820.222
43.6799, 183.7472, 824.062
39.4282, 184.3885, 828.362
35.0016, 184.8345, 832.811
28.3636, 185.5236, 839.485
22.1966, 186.2148, 845.690
17.0687, 186.858, 850.858
14.7363, 187.167, 853.211
11.3299, 187.5832, 856.643
8.1588, 187.9047, 859.830
4.6825, 188.1487, 863.315
1.0384, 188.2277, 866.960
-2.1333, 188.0711, 870.135
-5.8495, 187.4087, 873.910
-8.2864, 186.5647, 876.489
-10.5357, 185.5574, 878.954
-12.5569, 184.4606, 881.253
-14.5427, 183.1835, 883.614
-16.3621, 181.8035, 885.898
